year,category,spec_score,grade,toeic,toeic_speaking,opic,language,qualification,over_sea,intern,reward,volunteer
2021년 상반기,앱개발자,527,3.9,-,Lv6,-,-,2개,-,2회,1회,2회
2020년 하반기,사무담당자,585,3.5,-,Lv6,-,-,14개,1회,11회,-,8회
2020년 하반기,사무담당자,585,3.5,-,Lv6,-,-,14개,1회,11회,-,8회
2019년 하반기,소프트웨어개발자,716,3.76,855점,Lv6,AL,-,-,-,5회,3회,4회
2019년 상반기,머신러닝엔지니어,320,3.51,785점,-,-,-,-,-,1회,-,1회
2019년 상반기,DBA,148,3.07,-,-,-,-,-,-,-,-,-
2017년 상반기,인바운드상담원,242,2.5,-,-,-,-,1개,-,1회,-,1회
2016년 하반기,납품·배송기사,354,3.3,-,Lv5,-,-,1개,-,2회,-,1회
2016년 하반기,,468,4.1,730점,-,-,-,3개,-,2회,-,1회
2016년 하반기,,201,3.2,600점,-,-,-,-,-,-,-,-
2016년 상반기,포토그래퍼,241,3.2,-,-,-,-,-,-,-,-,3회
2016년 상반기,앱개발자,522,4.05,730점,-,IM2,-,3개,-,2회,-,1회
2016년 상반기,네트워크엔지니어,291,3.4,785점,-,-,-,2개,-,-,-,-
2015년 하반기,채널관리자,281,3.5,-,-,IL,-,1개,-,-,-,2회
2015년 하반기,웹기획,180,3.49,-,-,-,-,1개,-,-,-,-
2015년 하반기,,324,3.4,785점,-,-,-,3개,-,-,-,-
2015년 하반기,,351,3.1,895점,Lv7,-,-,1개,-,-,-,-
2015년 상반기,채널관리자,272,-,920점,-,-,-,-,1회,1회,-,-
2015년 상반기,기술·전문강사,251,3.2,-,-,-,-,4개,-,-,-,-
2015년 상반기,채널관리자,213,-,-,-,-,-,3개,-,-,-,1회
2014년 하반기,네트워크엔지니어,244,3.37,-,-,-,-,4개,-,-,-,-
2014년 하반기,웹개발자,252,3.69,-,-,-,-,3개,-,-,-,-
2014년 하반기,시설관리자,103,-,-,-,-,-,1개,-,-,-,-
2014년 하반기,웹기획,180,3.49,-,-,-,-,1개,-,-,-,-
2014년 하반기,,70,-,-,-,-,-,-,-,-,-,-
2014년 하반기,,243,3.8,550점,-,-,-,1개,-,-,-,-
2013년 하반기,PD·감독,420,3.31,-,-,-,-,3개,-,1회,1회,2회
2013년 하반기,설문·리서치,381,3.56,-,-,IM2,-,2개,-,-,-,5회
2013년 하반기,작가,257,3.5,-,-,-,-,-,-,3회,-,-
2013년 하반기,기술·전문강사,254,3,965점,-,-,-,-,-,-,-,-
2013년 하반기,,271,3.8,-,-,-,-,2개,-,-,1회,-
2013년 하반기,,221,3.8,-,-,-,-,2개,-,-,-,-
2013년 상반기,영업지원,219,4.03,-,-,-,1개,-,-,-,-,-
2013년 상반기,회계담당자,180,3.45,-,-,-,-,1개,-,-,-,-
2012년 하반기,,177,3.34,-,-,-,-,1개,-,-,-,-
2012년 하반기,,202,3.7,-,-,-,-,-,-,1회,-,-
2012년 하반기,,323,3.36,780점,-,-,-,3개,-,-,-,-
2012년 하반기,,280,3.87,905점,-,-,-,1개,-,-,-,-
2012년 하반기,,143,3.32,-,-,-,-,-,-,-,-,-
2012년 하반기,,153,3.75,-,-,-,-,-,-,-,-,-
2012년 하반기,,207,3.45,605점,-,-,-,-,-,-,-,-
