year,category,spec_score,grade,toeic,toeic_speaking,language,qualification,over_sea,intern,reward,volunteer
2022년 하반기,경영 비즈니스기획,-,3.8/4.5,-,AL,-,-,-,1회,-,3회
2022년 하반기,경영 비즈니스기획,-,3.8/4.5,-,AL,-,-,-,1회,-,3회
2022년 상반기,웹개발자,-,4.07/4.5,845점,-,-,-,-,-,-,1회
2021년 하반기,경영 비즈니스기획,-,3.5/4.5,-,Lv6,-,14개,1회,11회,-,8회
2020년 하반기,머신러닝엔지니어,-,3.97/4.5,-,-,-,-,-,-,-,-
2020년 하반기,머신러닝엔지니어,-,3.97/4.5,-,-,-,-,-,-,-,-
2019년 하반기,외국어강사,-,4.1/4.5,960점,-,1개,-,4회,-,1회,-
2018년 상반기,머신러닝엔지니어,-,3.46/4.5,890점,Lv5,-,2개,-,-,-,-
2018년 상반기,앱개발자,-,3.99/4.5,-,-,-,2개,-,1회,-,2회
2017년 하반기,인사담당자,-,3.9/4.5,900점,-,1개,-,-,-,-,-
2017년 하반기,웹디자이너,-,3.75/4.5,920점,Lv6,-,-,-,-,-,-
2017년 하반기,웹기획,-,3/4.5,-,Lv6,-,1개,1회,1회,1회,6회
2016년 하반기,캐릭터디자이너,-,3.75/4.5,-,-,-,-,-,-,-,-
2016년 하반기,온라인마케터,-,-,945점,Lv8,-,-,1회,-,-,-
2016년 하반기,,-,3.1/4.5,-,Lv6,-,2개,-,-,1회,-
2016년 하반기,,-,2.91/4.5,855점,Lv6,-,-,-,-,-,-
2016년 하반기,,-,3.7/4.5,-,-,-,-,-,-,-,-
2016년 하반기,,-,4.08/4.5,-,-,-,-,-,-,-,-
2016년 하반기,앱개발자,-,4.04/4.5,-,-,-,-,-,-,-,-
2016년 하반기,웹기획,-,2.7/4.5,-,-,-,-,-,-,1회,2회
2016년 상반기,작가,-,3.19/4.5,-,-,-,-,-,-,-,-
2016년 상반기,광고디자이너,-,3.89/4.5,-,-,-,-,-,1회,-,-
2015년 하반기,,-,3.2/4.5,800점,-,-,1개,-,-,-,-
2015년 하반기,,-,3.6/4.5,710점,-,-,1개,-,-,1회,-
2015년 하반기,,-,3.7/4.5,-,-,-,-,1회,-,-,-
2015년 하반기,,-,3/4.5,-,-,-,-,-,-,-,1회
2015년 하반기,,-,4/4.5,-,-,-,5개,-,-,-,-
2015년 하반기,,-,3.5/4.5,-,-,-,-,-,-,1회,1회
2015년 하반기,,-,3.4/4.5,-,-,-,2개,-,-,-,-
2015년 하반기,,-,4.2/4.5,840점,-,-,-,-,-,-,-
2015년 하반기,,-,3.7/4.5,960점,-,-,4개,-,-,1회,2회
2015년 하반기,,-,4/4.5,830점,-,-,1개,-,-,1회,-
2015년 하반기,,-,3.3/4.5,-,-,-,1개,-,3회,1회,-
2015년 하반기,,-,3.8/4.5,-,-,-,2개,-,-,-,-
2015년 하반기,,-,3.2/4.5,800점,-,-,1개,-,1회,-,-
2015년 하반기,,-,4/4.5,715점,-,-,1개,-,1회,1회,1회
2015년 하반기,네트워크엔지니어,-,4/4.5,830점,Lv6,-,1개,-,-,1회,-
2015년 하반기,웹개발자,-,3.3/4.5,-,-,-,1개,-,3회,1회,-
2015년 하반기,웹개발자,-,3.8/4.5,-,-,-,2개,-,-,-,-
2015년 하반기,시스템엔지니어,-,3.2/4.5,800점,Lv6,-,1개,-,1회,-,-
2015년 하반기,앱개발자,-,4.2/4.5,840점,-,-,-,-,-,-,-
2015년 하반기,,-,-,-,-,-,-,-,-,-,-
2015년 하반기,,-,3.96/4.5,885점,-,-,-,1회,-,-,-
2015년 하반기,,-,3.96/4.5,885점,-,-,1개,1회,-,-,-
2015년 상반기,그래픽디자이너,-,3.86/4.5,-,-,-,4개,-,4회,-,-
2015년 상반기,QA,-,3.9/4.5,-,-,-,1개,-,-,-,-
2015년 상반기,웹퍼블리셔,-,4.03/4.5,-,-,-,4개,-,-,-,-
2015년 상반기,캐릭터디자이너,-,-,-,-,-,2개,-,-,-,-
2015년 상반기,인사담당자,-,3.71/4.5,-,-,-,4개,-,-,2회,2회
2015년 상반기,앱개발자,-,4/4.5,715점,-,-,1개,-,1회,1회,1회
2015년 상반기,홍보,-,3.7/4.5,960점,Lv7,-,3개,-,-,1회,2회
2014년 하반기,캐릭터디자이너,-,3.28/4.5,-,-,-,-,1회,-,2회,-
2014년 하반기,채널관리자,-,3.8/4.5,-,-,1개,2개,-,-,-,-
2014년 하반기,경영 비즈니스기획,-,3.23/4.5,880점,-,1개,-,1회,-,-,1회
2014년 하반기,,-,3.9/4.5,-,-,-,-,-,-,1회,-
2014년 하반기,,-,3/4.5,-,-,-,-,-,-,-,-
2014년 하반기,,-,3.9/4.5,-,-,-,-,-,-,1회,-
2014년 하반기,,-,3/4.5,-,-,-,-,-,-,-,-
2014년 상반기,온라인마케터,-,3.94/4.5,-,-,-,3개,-,-,-,5회
2014년 상반기,채널관리자,-,-,-,-,-,3개,-,-,-,-
2014년 상반기,웹개발자,-,3.67/4.5,-,-,-,4개,2회,3회,-,-
2013년 하반기,회계담당자,-,3.41/4.5,770점,-,-,1개,-,-,-,-
2013년 하반기,웹기획,-,4.22/4.5,-,-,-,-,-,-,-,-
2013년 하반기,홍보,-,3.53/4.5,925점,-,-,-,1회,-,2회,-
2013년 하반기,시설관리자,-,3.66/4.5,-,-,-,5개,-,-,-,-
2013년 하반기,웹기획,-,3.5/4.5,-,-,-,4개,-,-,-,-
2013년 하반기,통번역사,-,3.54/4.5,620점,-,1개,-,1회,-,-,-
2013년 하반기,,-,3/4.5,725점,-,-,-,-,-,-,-
2013년 하반기,,-,3/4.5,845점,-,-,2개,-,-,-,-
2013년 하반기,,-,3.54/4.5,750점,-,-,4개,-,-,1회,1회
2013년 하반기,,-,3/4.5,800점,-,-,1개,-,-,-,1회
2013년 하반기,,-,3.6/4.5,800점,-,-,-,-,-,-,-
2013년 상반기,비서,-,3.98/4.5,815점,-,-,3개,-,-,-,-
2013년 상반기,사무보조,-,3.2/4.5,-,-,-,-,-,-,-,-
2013년 상반기,경영 비즈니스기획,-,3.15/4.5,-,-,-,-,1회,-,-,-
2013년 상반기,그래픽디자이너,-,3.92/4.5,-,-,-,1개,-,4회,-,-
